,Date,User,Tweet
62,2019-05-18 17:54:01+00:00,UdayiCODE,I am seeing 3 Options for PM this time #Modi #NarendraModi #NarendraDamodarModi
63,2019-05-18 17:50:18+00:00,anoopsi63399581,"We appeal #PurvanchalKiJanta to vote for #BJP &amp; defeat all corrupt,tried tested &amp; failed Leadership of #Mahagadbhandhan in UP &amp; bring progress,development &amp; prosperity in region as a Citizen,voter tomorrow .
#LokSabhaElections2019 #Purvanchal"
64,2019-05-18 17:48:58+00:00,indiapharaoh,"It might seem a little far-fetched, but #FattuJains like Amit Shah used every avenue, every institution, every community to strangehold over power

And thats the reason every Other Neta has ganged up against #FattuJains

If #BJP loses power, #FattuJains will become more #Fattu"
65,2019-05-18 17:48:19+00:00,pankajkhosla82,Which poison is more dangerous for country #India #BJP #BJP4India #Congress @INCIndia @BJP4India
66,2019-05-18 17:45:45+00:00,SandipGhose,"@thakkar_sameet @BDUTT @surjitbhalla 4/n smacked of arrogance and entitlement. In turning it into a Modi Vs Rahul contest he undermined the entire Opposition campaign - making it a ""Aur Kaun Hain"" scenario. Opposition should squarely blame #RahulGandhi and #Congress for ruining their fighting chance. #Elections2019"
67,2019-05-18 17:44:55+00:00,AdvocateLodha,"Kedarnath is the right place and meditation is the right way to repent and remorse.
#Kedarnath #NathuramGodse #Dynasty #ElectionsWithNews18 #Gandhiji #Gandhi #IndiraGandhi #IndiaElections2019 #LokSabhaElections2019 #LokSabhaEelctions2019 #ManmohanSingh #ModiHaiTohGodseHai #NDTV"
68,2019-05-18 17:41:54+00:00,NehShh2,@JagratiGupta3 @Swamy39 In the matter of Education and exams without cheating I really appreciate the work of @myogiadityanath and @narendramodi . just because I feel that #Bjp knowledge ko support krti h #Bribe ko nhi ar ye yogi Ji ka #UP me phla aesa kam tha jisne desh ko sawara ar shi raah dukhai....
69,2019-05-18 17:36:52+00:00,akchaudh,#Modiji is already practicing something in #Kedarnath what he will do after 23rd May 2019. When are other #BJP folks going to follow his footsteps?
70,2019-05-18 17:34:54+00:00,Anilcherukara,"@sakshijoshii Cave built at Modi's interest 😃🤣😂

He knew once he had to sit here...
#BuddhaPurnima 
#Kedarnath 
#ModiFlopPressConference 
#LokSabhaElections2019"
71,2019-05-18 17:34:45+00:00,SandipGhose,"@thakkar_sameet @BDUTT @surjitbhalla Ok, ""Aur Kaun Hain"" is vernacular for TINA. #Modi may have made it a Presidential contest but #RahulGandhi was foolish to walk into it knowing well Congress may not cross double digits. Congress' campaign was based on ""dismantling"" Modi's image (Rafale, DeMo, GST - Chowkidar 2/n"
72,2019-05-18 17:30:12+00:00,abdullalsebea,"If I'm Indian, I'll vote for @narendramodi 🇮🇳 

 #youthwithmodi #namoagain #election2019 #voteforindia #election #politics #vote #bjp #india #elections #news #narendramodi #rss #republican #president #like #bollywood #indian #bhfyp"
73,2019-05-18 17:27:11+00:00,nallaganesh,"@Prof_Hariom @ArtiSharma001 Nope. If #Congress was winning just 40 seats, they would have started talking EVMs ... My sense is Opposition Parties (excluding INC) are smelling 180+ between them. 

#LokSabhaElections2019"
74,2019-05-18 17:26:49+00:00,DoctoredSpeech,"Recently I saw @k_satyarthi getting abuses &amp; hate comments just because he thinking that saying that ""#NathuramGodse was a #Patriot"" by #SadhviPragya, was wrong &amp; #BJP should withdraw her candidature on moral grounds."
75,2019-05-18 17:26:04+00:00,priyankanema,#Gaddar congress doesn't have a word to say on west Bengal. #MahaThugBandhan is also silent. Only #BJP is concerned so I am with BJP. A #PatriotsAwakened with BJP. Traitors with #INC
76,2019-05-18 17:25:25+00:00,muraribhartia,"@rishibagree I feel the following seats will be for #BJp this time in #Bengal 
1) Asansol
2) Purulia 
3) Darjeeling
4) Jhargram
5) Kolkata North
6) Dum Dum
7) Howrah
8) Bankura 
8 seats in total !"
77,2019-05-18 17:24:11+00:00,KaramLamba,"If #Savarkar was a real hero, he would have bumped some Britisher rather than having part in conspiracy to assassinate #Gandhi (as per JL Kapoor commission) #Hindutva #BJP"
78,2019-05-18 17:23:37+00:00,freespeechabi,"#LokSabhaElections2019 Last phase voters - please don’t get complacent that Modi is winning. Don’t forget to vote! Go Varanasi, Bengal, Punjab, etc. Get Modi through! #FinalPhase"
79,2019-05-18 17:15:40+00:00,drnitinchaube,"@timesofindia #BJP loses a state and a supporter.
This is a significant loss in NE
#Congress wins"
80,2019-05-18 17:15:20+00:00,nallaganesh,"@IndianExpress ... let's talk n trend #Gandhi #Godse ... 😥 

#LokSabhaElections2019"
81,2019-05-18 17:15:19+00:00,VishwasSutrakar,"I clearly remember In May 2004, the #Sensex tanked a hefty 20% in two days after the election result, brought in UPA, which removed #BJP. By December it had rallied 50% from the post sell-off low

This time story is different, DII holding big #money to control selloff, no big cut"
82,2019-05-18 17:15:19+00:00,santosh29_amin,In 2002 #Modi was asked questions by a few morons like @BDUTT @sagarikaghose @sardesairajdeep today nobody questions @MamataOfficial why ? #mediamyfoot @BDUTT (shoorpanaka) #LokSabhaElections2019
83,2019-05-18 17:09:57+00:00,samanabbasi1,Modi's election campaign seems like a carefully directed movie with a lot of rhetoric and measured histrionics thrown in at specified moments to allay public doubts and fears albeit with really bad acting.#LokSabhaElections2019
84,2019-05-18 17:08:32+00:00,ninadsheth,@TarekFatah @nytopinion #RomilaThapar one of Indias top fiction writers calls #BJP  @narendramodi   peddllar of myths this is the real Denver resident  non Indian fat on foreign funds jihad supporters.
85,2019-05-18 17:06:13+00:00,myobservation,"If #BJP looses then #unemployment will rise , all #chowkidar recruited will loose their jobs ! #Elections2019"
86,2019-05-18 17:05:42+00:00,sumitknw,"@sonakshisinha @ShatruganSinha Your Father has cheated BJP,  he is opportunistic.  People knows this,  they will vote for only #BJP"
87,2019-05-18 17:02:59+00:00,ciperon,#Hindus In #WestBengal Should Vote For #BJP If They Want To Survey
88,2019-05-18 17:02:34+00:00,dwivediakash0,@milindkhandekar @PandaJay Yes if it is true #BJP will get over 60 seats in #UP.
89,2019-05-18 17:01:35+00:00,VijayMittal2512,@Ahmed1Hilal Calculation of @ArvindKejriwal 's #Vote distribution in Delhi of Muslims is wrong.Actual calculation is 60-70% went to #congress about 20% went to @AamAadmiParty and 10-20%went to #BJP Any leader of any party think that #MuslimVote not went to @BJP4India is in dark. @narendramodi
